date	canada	usa	o_america	brunei	indonesia	malaysia	myanmar	philippines	thailand	vietnam	o_se_asia	hk	japan	china	skorea	taiwan	o_nasia	bangladesh	india	nepal	pakistan	sri lanka	o_sasia	iran	israel	kuwait	sarabia	uae	o_wasia	austria	belgium&lux	denmark	finland	france	germany	greece	italy	netherlands	norway	poland	ireland	russia	spain	sweden	switzerland	turkey	uk	o_eeurope	o_weurope	oceania	australia	nz	o_oceania	egypt	mauritius	sa	o_africa
2011-12-31	7610	36418	3501	10382	284232	130493	8594	57114	39338	26995	3332	36204	62585	113390	29605	15153	2546	8366	78434	1180	1850	11387	1009	2029	778	495	1167	5857	1938	1629	2025	2232	4319	12050	21448	767	4873	6168	3097	1288	1526	6881	3060	4934	6687	1098	37057	6040	1199	96626	84723	10514	1389	253	1837	5305	2250
2012-01-31	8495	38922	4236	4862	230500	88969	6710	42248	28725	27160	3332	39000	50672	201742	45933	27457	2455	7250	57265	1289	1496	5407	653	1726	1138	483	1664	3990	1229	2210	2153	3250	4792	10939	26463	786	5443	7082	3238	2147	1566	12759	2473	5682	7253	1953	40128	8213	1481	107329	94946	11207	1176	269	821	3185	1843
2012-02-29	8303	41970	3775	4782	211738	88451	7038	50931	33176	26059	2818	30416	67306	158002	45397	27260	1960	7639	61815	1010	1405	6251	579	1483	1336	655	975	4211	1818	2803	2392	4261	5586	14493	27868	802	5314	7351	4038	2559	1557	6533	2398	5967	7709	2001	47132	7440	1702	71466	63878	6613	975	319	729	2172	1306
2012-03-31	9930	45720	4424	6942	227695	108054	8197	58682	43230	28214	3152	35154	74995	182348	34077	21401	1715	8951	65547	997	1492	5286	665	5048	1216	340	1244	6088	1775	2305	2610	3557	4144	14253	30111	724	6122	7163	4579	1763	1817	6603	3107	5175	7958	1874	52109	7399	1716	79598	70960	7469	1169	271	813	2992	1791
2012-04-30	7294	35169	4860	4472	214289	96892	12114	75052	56217	29837	5027	47141	49203	173543	31252	22999	2493	9279	76035	1027	1294	10243	810	886	979	389	1029	5282	1464	1829	2637	2660	2358	14517	19375	660	4848	5609	3444	1265	1463	5023	3051	3447	7726	1276	38477	4989	1535	92969	81927	9881	1161	345	1220	3018	1640
2012-05-31	6166	36739	3806	4649	228359	99568	8984	72484	42583	30562	3647	33091	50006	139946	33018	20607	1471	9231	124147	1021	1489	5346	769	924	977	318	874	4312	1297	1338	1661	1644	1607	10902	14377	627	3639	5329	1875	1034	1240	3939	2131	2008	5467	1025	26725	3729	1244	84044	72641	10137	1266	267	534	2251	1417
2012-06-30	5356	43468	3734	6980	253510	107356	7397	49957	34526	39560	3388	36897	52387	122630	34394	21006	2393	9782	93694	948	3119	6040	781	1345	1088	979	2519	5716	2430	1217	1669	1801	1745	9301	13106	571	3668	5194	2506	846	1560	3567	2263	2043	4657	1100	25647	3731	997	106250	92951	12021	1278	304	681	2591	1523
2012-07-31	7346	44265	4347	5485	246772	90449	7699	45249	34542	46521	4297	50113	61139	201652	42524	33511	3059	10330	68749	1028	3327	5847	650	1403	1239	965	2176	7448	2767	2095	2884	3359	1425	15402	17784	670	5403	9847	3587	1237	1862	3848	3663	2430	8219	1363	31195	4677	1218	120708	105570	13772	1366	315	615	2674	2218
2012-08-31	6454	36979	3194	5860	276938	107841	6527	45775	38137	33230	3332	48138	82747	206734	47383	27903	4138	9707	63579	1103	1394	7979	631	1985	999	1231	1785	8068	2847	2145	2692	1864	992	20864	20355	755	11397	8361	1903	1303	1661	4101	5802	1872	6816	1334	34338	4523	1550	91192	79292	10901	999	258	932	1841	2088
2012-09-30	4858	32008	4146	4106	195481	90484	6502	46880	34926	25917	3220	34584	65991	128830	31247	18385	1633	10030	58748	939	1710	6398	690	1747	1171	597	1080	4588	1684	1712	1970	1885	1586	12529	19658	678	5174	6117	2254	1374	1421	4002	3565	1905	5931	1120	34849	3967	1392	113924	100891	11669	1364	340	571	2637	1968
2012-10-31	7002	38016	5618	5070	215668	93945	6935	56058	57136	25749	5059	38630	62436	170529	34713	20456	1861	9456	72348	1702	1368	7229	794	575	1331	550	2517	5100	2171	1967	2046	2517	2541	11328	20744	675	4265	6884	2907	1326	1740	4909	3646	3035	7634	2170	38074	4935	1289	112575	100138	11158	1279	324	512	2230	1857
2012-11-30	7659	40170	4674	6194	229432	124008	6870	55125	33908	25249	4069	36704	70696	177112	34014	20223	2089	8922	74794	1048	1395	6607	769	738	1091	416	1006	4305	1652	1810	2188	2290	2889	12585	20254	603	5298	6638	3502	2493	1683	6370	3264	3875	7564	1338	39509	5930	1388	93863	83972	8550	1341	341	1158	2227	1685
2012-12-31	8932	43787	4578	12353	307155	135669	8073	58363	40548	28176	3550	42299	69538	171109	31232	20995	2622	10096	78272	1313	1717	10726	1018	693	1035	698	1100	6444	2210	1833	1922	2391	3668	11810	22338	586	4986	6028	2970	1558	1395	7303	2415	5809	6923	1475	38314	6370	1327	115229	103207	10323	1699	277	1271	4921	2432
2013-01-31	9798	45736	5849	5773	254725	89300	6819	44201	32897	22879	3419	32438	62857	189107	53193	32717	2019	10584	71162	1281	1778	6741	824	675	1351	456	1988	4424	1635	2410	2185	3745	3877	12798	22837	698	6262	7153	3382	2379	1631	12197	2516	6892	7957	2267	42973	9996	1576	132868	119592	11908	1368	277	909	3191	1971
2013-02-28	8995	40696	4425	4427	196059	91895	5680	44540	30311	28981	3453	48473	68442	252958	40229	39087	2202	7379	59665	887	1249	6392	581	731	1196	1302	972	3873	1660	2334	1973	3673	3755	12621	23053	587	4309	7098	3524	2458	1361	6482	2530	5440	7107	2474	44589	7785	1283	76185	69470	5735	980	288	459	1606	1325
2013-03-31	9635	46881	5494	8290	259244	108683	8693	63521	44202	27732	3467	50220	87359	205790	36755	22606	2083	9617	70480	1109	1734	7474	665	2223	1241	550	1610	6560	2120	2500	2712	3545	3271	16120	31307	673	5463	7476	4885	2489	1856	7873	3469	5395	7766	1777	52508	7656	1843	95908	87652	7087	1169	289	572	3182	1731
2013-04-30	7769	38908	5661	4486	218602	95414	13031	73215	54728	31863	6049	40252	53292	227870	31296	24261	1523	9832	76103	972	1572	12588	638	504	1023	479	1089	6582	1949	1593	2025	2149	2213	13403	18494	493	4011	5891	3073	1835	1255	6499	2508	3243	7455	1548	38605	5351	1383	104538	94285	9035	1218	324	738	2494	1515
2013-05-31	6699	36909	4154	5574	251092	109517	8432	76929	48171	30496	4679	40898	55491	198429	33857	22261	1601	9611	122030	923	1646	7066	697	421	1044	320	954	4477	1600	1607	1850	1691	1527	12432	15763	544	4407	5916	1904	1659	1264	5566	2317	2199	6663	1043	27714	4504	1214	95908	84444	10225	1239	249	500	2301	1466
2013-06-30	5748	45860	4512	7837	295907	107286	7718	55868	36018	42194	4179	43857	57757	166890	36409	29680	3090	10360	99754	1087	2770	6206	856	699	1215	857	2839	5375	2507	1247	1735	1868	1620	9349	13453	570	4185	5661	2463	1564	1388	4264	2278	2240	5735	1229	28855	3991	1175	103350	91231	10626	1493	410	582	2645	1672
2013-07-31	7401	45176	4405	5922	260700	93299	8427	49225	41912	47834	4775	67662	70113	248635	41913	47290	3267	11364	73550	1027	1512	7038	486	606	1313	475	935	6403	2362	2384	3049	3672	1295	15466	18262	640	5303	9591	3501	1447	1654	4784	4024	2710	10154	1225	35340	4619	1378	128839	112743	14813	1283	224	693	2528	1806
2013-08-31	7008	39079	3773	6109	328174	116392	7020	51817	36548	34980	4062	61337	92179	242256	45986	40571	4058	10463	66274	1120	1956	10237	773	961	1270	2943	3606	10701	5258	2549	2838	1995	1092	21876	22265	600	13117	8568	2273	1736	1562	5184	6584	2049	7638	1483	39525	5171	1956	91154	79221	10765	1168	371	624	1730	2640
2013-09-30	4937	33741	4431	4824	218751	98973	7190	47879	36254	28276	3776	33514	73786	179130	35599	27180	1620	9589	64556	782	1419	7144	542	1431	1330	850	1089	5089	2072	2040	2051	1964	1558	10508	21012	561	5029	6272	2250	1236	1298	4726	3636	1952	7402	1300	36525	4326	1358	117498	105179	11081	1238	316	428	2933	2191
2013-10-31	7158	37555	5367	5879	246115	98097	8934	61360	58887	29011	4706	37570	68034	117955	40157	23246	1738	9843	72429	1402	1675	6932	790	883	1254	1108	2588	7356	2658	1748	2219	2877	2249	12384	21759	622	4550	6732	2765	1408	1598	6748	3257	3491	9054	2898	36479	5663	1520	108089	96454	10359	1276	418	559	2113	1839
2013-11-30	8000	39620	4295	7346	238233	129955	7531	55195	34685	27353	4760	38801	72603	119618	40388	22197	1814	9899	74389	862	1309	6408	764	732	1175	371	1007	4674	1731	2184	2390	2345	3280	11359	21213	603	5140	6568	3121	2239	1232	8376	3338	3593	8549	1386	39363	6914	1930	88207	78324	8430	1453	293	1150	1873	1623
2013-12-31	9537	41785	4468	13399	321257	142131	9892	64044	42796	28896	4338	44788	70932	121232	35986	19212	3087	10783	83161	1286	1628	11380	1090	1090	1167	902	1219	7039	2647	2135	2325	2396	3638	11697	22142	609	4874	6000	2786	1404	1347	9435	3050	6052	8900	1215	38983	7572	1495	118584	106584	10383	1617	323	1332	5394	2537
2014-01-31	10317	43746	6310	6418	284126	89482	7807	43702	35263	26071	4336	41909	59578	188237	59745	32033	2300	10428	65557	1241	1259	6440	789	898	1325	766	2617	3843	2015	2446	2220	3717	4427	11966	25176	738	5429	7640	3435	1893	1514	15770	3095	6910	9319	2570	42333	10378	1563	138983	126119	11466	1398	399	646	2829	1867
2014-02-28	10118	44052	4817	5076	219036	91181	7513	44539	35161	33053	4653	48440	69230	203600	51930	32874	2391	9343	62999	989	1117	6006	733	896	1556	1471	1322	4072	2260	2914	2482	3860	4580	14180	25422	646	4944	7458	3516	2466	1325	9154	3022	5289	8994	2149	43990	8752	1479	76921	69119	6893	909	351	481	1729	1685
2014-03-31	10905	49729	6242	7545	246308	107002	9789	57050	46338	31060	3821	43218	85946	165642	40995	22115	1813	10721	70488	967	1570	5772	828	3433	1320	587	2037	6286	1951	2738	2821	3234	3449	15735	30806	768	5940	7969	3397	1921	1464	9563	3444	4821	8829	1633	49453	8686	1843	82576	74578	6872	1126	328	478	2280	1883
2014-04-30	6861	36594	5358	4741	230236	94982	15255	73558	56136	30234	6759	69675	50751	126507	36247	25865	2321	9817	79536	1029	1225	11131	1023	577	1273	448	1379	6512	2155	2104	2664	2649	2305	13643	22125	602	4684	6517	3938	1222	1278	6996	3394	3676	10025	1380	43704	5560	1879	110476	99811	9520	1145	333	748	3364	1850
2014-05-31	6803	35355	4201	6254	267714	100648	9538	76976	46683	36630	5412	47859	54173	95987	41946	26699	1750	9853	118953	962	1357	6994	800	443	1075	390	1556	4609	1779	1518	1792	1624	1495	11980	15425	607	3712	5888	1854	1262	1113	5746	2657	2417	6710	1258	27661	4765	1132	90197	78280	10812	1105	322	390	1912	1687
2014-06-30	5516	41609	3509	7393	278181	108945	9530	56224	39083	48999	4353	47182	56044	91485	37589	25807	2745	11100	94738	1343	2799	6369	895	685	1193	769	2205	5676	2400	1231	1654	1653	1532	9288	13270	578	3674	4962	2093	904	1357	4874	2515	2160	5454	1221	25126	4357	1035	93720	81558	10922	1240	307	525	1800	1759
2014-07-31	7052	43508	3997	6305	296880	101461	9345	49506	43785	55951	5061	80808	69419	180653	46666	44229	3577	10108	72724	1189	1374	5711	723	844	1065	1208	1760	8544	3017	2575	2987	3293	1266	14405	17014	710	5153	8089	3328	1474	1734	5280	4047	2716	10503	1320	32046	5021	1571	121953	106641	14075	1237	214	708	2448	2075
2014-08-31	6641	38067	3271	5079	234710	93222	8903	51074	40849	41775	4653	87173	95248	174150	56623	38422	5636	11690	69960	1297	1951	9649	859	892	1166	2784	5290	11862	5573	2608	2946	2052	1108	20541	24544	764	13280	8541	2040	2029	1429	6129	7295	1841	8837	1704	38342	5523	1911	94516	82448	10939	1129	448	655	2037	3346
2014-09-30	5022	33053	4362	5601	206593	99339	8294	47246	35122	28960	5172	39931	74408	105780	39276	25373	1971	9486	65751	1344	1115	7536	747	1254	1134	532	2311	5012	1718	2141	2233	2199	1759	10323	22156	759	5164	6027	2132	1774	1281	5384	4153	2034	7645	1333	35971	4867	1557	109434	97642	10593	1199	399	475	2354	1628
2014-10-31	6696	36306	4968	5440	226630	97184	8958	58572	53916	30552	3787	40146	68609	133993	44810	24197	1963	10722	88855	1746	1161	6987	886	756	1441	896	2349	6704	2752	1844	2029	2754	2522	12351	21905	669	4389	6051	2328	1815	1353	6507	3488	3331	9515	1607	36971	6307	1513	97885	87565	9146	1174	406	475	1853	1472
2014-11-30	7662	39705	4973	5806	219369	106313	7973	53508	35138	29938	5114	39019	69415	131731	40230	21240	2157	10027	71555	1084	1242	7603	866	758	1602	404	1660	4754	1666	2303	2546	2372	3054	11762	21514	691	5559	6447	2689	2519	1363	7246	3757	3498	8983	1318	37909	7168	1530	81969	73262	7435	1272	397	1024	2310	1786
2014-12-31	9234	43188	5536	11998	315395	143276	9859	64526	39035	31185	3924	45669	71920	124615	40918	18577	3834	11631	82520	1380	1505	8608	1365	934	1120	781	1292	7868	2672	2087	2321	2485	3210	10708	24156	763	5124	6222	2758	1732	1198	8004	3348	5363	8630	1203	38425	8161	1404	109266	97855	10015	1396	457	1420	4842	2888
2015-01-31	10875	46845	7060	5521	236295	86193	7825	42839	36798	28632	4030	34012	58479	140548	71820	30685	2402	10923	73605	1497	1500	6139	865	601	1425	1420	2500	4612	2479	2645	2063	3440	3740	11285	24529	727	5470	6405	2859	2306	1551	12650	3546	6295	9470	2432	44909	10476	1717	129274	115584	12330	1360	453	828	3255	1855
2015-02-28	9915	42427	5582	4759	184183	82408	6204	41155	29889	28150	3641	46985	62422	238011	51415	40059	2967	7960	60016	1167	870	5987	576	632	1347	519	948	3871	1756	2429	1968	3634	3390	13590	24937	701	4192	6678	3123	2084	1277	4861	2893	4556	8475	1898	47046	7822	1596	72276	65009	6349	918	268	557	1619	1123
2015-03-31	10515	48341	5909	6989	211347	101929	9681	53649	43504	30907	3993	41803	79941	130827	42872	24694	1632	10186	70302	1288	1234	7640	902	2937	1414	546	1777	7588	2054	2137	2594	3246	3110	12789	31468	787	5311	7127	3535	1716	1617	5154	3715	4284	8777	1993	50729	8179	2069	79760	70708	7854	1198	419	567	2541	1623
2015-04-30	7086	36186	5873	4977	207138	90515	12969	72259	47838	36472	6045	58959	46687	153784	41602	29229	1969	9809	84041	1249	1125	11103	852	548	1264	476	873	6628	2473	1722	2369	2301	2198	13135	20086	710	4870	5989	2652	1389	1434	4371	3094	3138	9308	1774	39808	6186	1609	94027	83497	9492	1038	348	858	2885	2333
2015-05-31	6637	37117	4260	5378	238688	100340	9162	72159	45674	35974	4699	45742	52971	141375	43883	25498	1816	10447	130511	892	1291	7652	830	488	1188	463	711	5278	1930	1377	1765	1642	1373	11686	16266	661	3923	5797	1497	1213	1224	4523	2953	1985	6699	1285	28113	4731	1164	85227	73965	10077	1185	355	513	2351	1456
2015-06-30	5914	44929	4482	4992	238403	100074	9326	53329	40121	45490	4657	45453	53257	144533	37193	30565	2437	9737	101773	1199	1947	5832	925	646	1087	538	735	5101	1855	1141	1599	1635	1551	8969	13660	595	3915	4553	2260	1100	1369	3644	2717	2091	5203	1160	25533	4496	1271	95694	82755	11593	1346	226	600	2048	1187
2015-07-31	6984	45139	4401	7237	305600	102347	8757	49724	45729	54711	5465	82817	67682	246819	48375	50278	4133	11793	83806	1260	2281	6782	1008	665	1266	1631	2177	10044	4554	2290	3225	3786	1308	16926	18815	681	5402	9364	3874	1766	1576	4071	4875	2911	10657	1496	36628	5603	1564	113551	97583	14756	1212	296	601	2752	1749
2015-08-31	6734	39090	4119	4585	205671	88834	8000	52997	39579	39519	4952	89436	92793	267122	60468	45292	6336	10353	77137	1526	2250	8965	1085	889	1323	2395	1932	10164	5345	2644	2905	2161	1222	22241	26784	711	15817	8040	1978	2117	1631	4618	8377	1946	8253	1714	41068	6990	2187	96655	83063	12497	1095	574	694	2183	2660
2015-09-30	5196	32749	4409	5761	187629	93334	7461	48209	39567	28282	3912	40315	73972	149929	39063	27836	1776	10159	69846	1514	1383	7477	1181	1473	1356	1024	1845	6781	2834	2029	2155	1974	1451	9816	22303	856	5291	5761	2068	1387	1335	3725	4330	2102	6938	2045	37361	5051	1907	110596	97071	12412	1113	444	411	2642	1722
2015-10-31	7858	39683	5434	4825	204574	88338	8762	58357	63693	30686	5817	41272	66416	165649	50582	27525	2013	10394	86649	2397	1857	8083	921	943	1456	550	893	4984	2056	2076	2336	2590	2569	13334	24718	891	5042	6557	2675	1923	1386	4900	4046	3753	9188	1453	40852	6961	1993	109158	96340	11462	1356	532	474	2981	1889
2015-11-30	8581	41457	5118	6191	200687	106214	7625	60583	38576	29284	5968	37241	67840	158736	44988	24062	1735	9272	88350	1662	1446	7432	1040	1048	1421	327	797	5450	2053	2370	2271	2656	2761	12269	27994	719	5317	6627	2615	2437	1480	5518	4464	4078	9481	1451	42022	7769	2031	87044	76369	9070	1605	325	1087	2347	1670
2015-12-31	9952	45546	4893	12379	311475	130551	9680	68114	45441	30159	5114	45853	66719	168831	44821	22303	3190	11554	87950	1567	1764	9960	1944	1397	1196	878	903	8192	2931	2248	2329	2324	3231	11443	35172	828	4800	6154	2514	1409	1467	5807	3064	5423	8400	1588	39741	8065	1554	113008	101624	9726	1658	298	1549	4866	2439
2016-01-31	11209	48852	6928	5596	249876	87208	7703	44334	44330	29145	4813	34742	62275	229150	74180	37087	1829	11151	81363	1281	1563	6624	1202	1156	1707	1682	1420	5048	3060	2981	2289	3833	4431	12144	39133	816	6186	7135	2992	2561	1916	9504	3432	6852	9072	2635	48408	11607	1936	129376	117073	10983	1320	387	841	3359	1782
2016-02-29	10558	42751	5491	4768	216284	85850	7090	47217	38650	35731	5006	49837	65604	277926	57595	42569	2732	8445	64702	1325	1250	6577	680	1516	1655	470	797	4470	2250	3064	2503	3988	3959	16417	37455	719	4883	6753	2749	3092	1418	6412	3159	5075	9181	2251	48371	9736	2156	68362	61900	5463	999	416	425	1696	1061
2016-03-31	10517	46658	6347	7100	238160	98135	10517	58963	48381	33122	4645	58341	79146	241230	40959	27401	1795	10845	78859	1163	1409	6699	999	6275	1582	674	1332	8349	2610	2718	2760	3441	3186	14259	40603	784	4825	6646	4125	2433	1823	6744	4382	5278	8782	2263	54782	10023	2092	86380	78701	6616	1063	283	892	2966	1922
2016-04-30	7598	39355	5617	5466	215353	97070	14495	74245	62514	38398	8517	42712	49613	269560	41356	33107	1571	10303	94578	1364	1439	12708	1090	819	1270	404	789	6712	2270	1948	2411	2273	1889	16628	21371	699	5783	6362	2267	1444	1406	4961	3156	3165	9192	2133	45545	7292	1993	105445	93320	10042	2083	410	1196	3055	1654
2016-05-31	7211	38422	4945	5768	258606	92668	9470	76646	52331	40046	6260	39959	55006	234089	44932	28809	1623	10700	141986	1591	1824	7434	1037	1198	1371	549	1049	5670	1871	1409	1848	1618	1490	11789	17868	656	4300	6273	1849	1132	1349	4411	2973	2063	6626	1760	27656	5158	1694	75598	64175	9715	1708	424	621	2202	1705
2016-06-30	5360	46155	4718	5061	235444	91901	9731	56702	36982	52449	5215	42330	54993	221614	43766	36718	2069	8949	112026	1484	1196	5764	770	972	1007	259	501	4478	1412	1019	1586	1515	1434	8954	13776	511	4272	4510	1887	1004	1579	3486	2541	1963	4779	1033	24403	4624	1269	90417	77805	10862	1750	197	579	1832	1334
2016-07-31	7547	47089	4622	6409	319759	100397	9937	55005	49788	59800	6195	69847	64715	311124	54700	46691	3154	12303	87919	1852	3823	7919	1212	1529	1446	1946	2278	11168	5880	2430	3310	3506	1586	16844	19327	627	6093	9454	3166	1689	2006	4349	4973	2991	10602	2111	37256	6107	1836	119907	103689	14548	1670	340	823	2806	2212
2016-08-31	6896	38116	3650	4665	210626	81655	8012	50362	39434	46773	6225	70842	93619	315548	62018	42274	4553	9694	80977	1970	2494	11142	1001	1901	1556	2224	2074	9881	4956	2766	3147	1940	1114	23795	25895	825	16139	9452	1668	1682	1443	5002	8652	1908	8475	1492	43288	6754	2521	92289	78888	11873	1528	462	882	2282	2865
2016-09-30	5257	33261	4382	5551	186610	93519	7102	45804	36911	32777	4904	30252	68996	170203	37742	30267	1434	10081	75074	1497	1893	7745	1125	2534	1639	1399	1750	7531	3006	1956	2282	1891	1688	11176	22567	685	5731	6078	1651	1612	1425	4503	4377	2076	7003	2590	36521	5526	1760	105400	92210	11514	1676	448	688	2430	1750
2016-10-31	7170	40277	5636	4022	213070	92736	8218	57924	58093	32192	5342	31512	62858	173182	34346	26270	1358	10078	94649	3565	1901	7825	1015	1718	2232	372	598	4527	1570	2089	2565	2795	2725	14543	27153	788	5336	6602	2286	1967	1693	6006	4166	3422	10464	1582	43834	7666	1737	97974	85395	10961	1618	370	1013	2809	1830
2016-11-30	9104	44968	6326	5256	219844	101547	7648	55814	35520	33482	6834	30832	64466	193967	36314	21568	1379	9830	90733	1820	1473	9161	1237	1632	1729	365	1123	4803	1629	2258	2491	2273	2390	12615	28441	785	5425	6777	2440	2074	1453	7286	4088	4142	8766	1665	39708	7923	1980	83536	73308	8529	1699	350	2478	2092	1568
2016-12-31	10047	50372	7058	10229	329982	128794	13691	68539	43450	35494	7202	36758	62430	225989	38595	21412	2445	10956	94320	1969	1946	12307	2100	1391	1440	779	809	7575	2900	2184	2166	2173	2749	11748	35173	849	5655	6200	2170	1380	1432	7739	3592	4830	8511	1634	39433	8633	1811	113361	100845	9994	2522	337	2393	5304	2753
